tree	group
mycr_Mycocepurus_s0	Groupe_87
mycr_Myrmicocrypta_s1	Groupe_7
mymi_Myrmica_s11	Groupe_88
mymi_Myrmica_s12	Groupe_88
mymi_Myrmica_s13	Groupe_88
mymi_Myrmica_s14	Groupe_88
mymi_Myrmica_s3	Groupe_88
mymi_Myrmica_s7	Groupe_88
mymi_Myrmica_s8	Groupe_88
mymi_Myrmica_s9	Groupe_88
myre_Myrmecia_s1	Groupe_26
myre_Myrmecia_s3	Groupe_89
myre_Myrmecia_s4	Groupe_26
myre_Myrmecia_s6	Groupe_26
myre_Myrmecia_s7	Groupe_26
myrm_Adelomyrmex_s0	Groupe_17
myrm_Adlerzia_s0	Groupe_42
myrm_Basiceros_s0	Groupe_9
myrm_Carebara_s0	Groupe_21
myrm_Cataulacus_s0	Groupe_85
myrm_Crematogaster_s1	Groupe_37
myrm_Harpagoxenus_s0	Groupe_20
myrm_Monomorium_s0	Groupe_83
myrm_Myrmica_s2	Groupe_90
myrm_Myrmica_s3	Groupe_88
myrm_Nesomyrmex_s0	Groupe_93
myrm_Ocymyrmex_s0	Groupe_18
myrm_Pheidole_s1	Groupe_11
myrm_Pogonomyrmex_s1	Groupe_91
myrm_Pogonomyrmex_s2	Groupe_92
myrm_Pristomyrmex_s0	Groupe_94
myrm_Tetramorium_s0	Groupe_43
myrm_Vombisidris_s0	Groupe_95
ocym_Ocymyrmex_s1	Groupe_96
phei_Pheidole_s1	Groupe_97
phei_Pheidole_s2	Groupe_11
phei_Pheidole_s3	Groupe_98
pogo_Pogonomyrmex_s2	Groupe_99
pogo_Pogonomyrmex_s3	Groupe_100
pogo_Pogonomyrmex_s4	Groupe_91
pogo_Pogonomyrmex_s5	Groupe_92
polyr_Polyrhachis_s1	Groupe_101
polyr_Polyrhachis_s2	Groupe_102
polyr_Polyrhachis_s3	Groupe_103
polyr_Polyrhachis_s5	Groupe_105
polyr_Polyrhachis_s6	Groupe_104
polyr_Polyrhachis_s7	Groupe_104
pone_Hypoponera_s1	Groupe_108
pone_Leptogenys_s2	Groupe_106
pone_Leptogenys_s3	Groupe_107
pone_Simopelta_s1	Groupe_109
pseu_Tetraponera_s1	Groupe_70
pseu_Tetraponera_s2	Groupe_110
pseu_Tetraponera_s3	Groupe_111
pseu2_Pseudomyrmex_s1	Groupe_112
seco_Dilobocondyla_s0	Groupe_113
seri_Sericomyrmex_s1	Groupe_6
sten_Novomessor_s0	Groupe_114
stru_Strumigenys_s1	Groupe_115
tapi_Tapinoma_s0	Groupe_116
temn_Temnothorax_s1	Groupe_117
temn_Temnothorax_s2	Groupe_118
temn_Temnothorax_s4	Groupe_119
temn_Temnothorax_s6	Groupe_120
temn_Temnothorax_s7	Groupe_121
vero_Veromessor_s1	Groupe_114
vero_Veromessor_s2	Groupe_114
zalla_Acromyrmex_s1	Groupe_5
zalla_Acromyrmex_s2	Groupe_5
zalla_Aenictus_s0	Groupe_139
zalla_Allomerus_s0	Groupe_179
zalla_Amblyopone_s0	Groupe_3
zalla_Anoplolepis_s0	Groupe_60
zalla_Aphaenogaster_s2	Groupe_22
zalla_Aphaenogaster_s3	Groupe_22
zalla_Aphaenogaster_s4	Groupe_22
zalla_Apterostigma_s1	Groupe_180
zalla_Azteca_s1	Groupe_48
zalla_Basiceros_s0	Groupe_9
zalla_Blepharidatta_s0	Groupe_8
zalla_Bothriomyrmex_s1	Groupe_47
zalla_Brachyponera_s1	Groupe_130
zalla_Calyptomyrmex_s0	Groupe_168
zalla_Camponotus_s2	Groupe_61
zalla_Camponotus_s4	Groupe_160
zalla_Camponotus_s5	Groupe_61
zalla_Cardiocondyla_s2	Groupe_18
zalla_Cardiocondyla_s4	Groupe_18
zalla_Cardiocondyla_s5	Groupe_18
zalla_Carebara_s0	Groupe_21
zalla_Cataglyphis_s0	Groupe_25
zalla_Cataulacus_s1	Groupe_85
zalla_Cataulacus_s2	Groupe_85
zalla_Cephalotes_s11	Groupe_186
zalla_Cephalotes_s13	Groupe_187
zalla_Cephalotes_s14	Groupe_12
zalla_Cephalotes_s2	Groupe_12
zalla_Cephalotes_s3	Groupe_12
zalla_Cephalotes_s5	Groupe_185
zalla_Cephalotes_s7	Groupe_186
zalla_Cephalotes_s9	Groupe_187
zalla_Chelaner_s1	Groupe_175
zalla_Chelaner_s2	Groupe_176
zalla_Colobopsis_s1	Groupe_62
zalla_Crematogaster_s1	Groupe_172
zalla_Crematogaster_s2	Groupe_37
zalla_Crematogaster_s3	Groupe_37
zalla_Cylindromyrmex_s0	Groupe_136
zalla_Cyphomyrmex_s0	Groupe_15
zalla_Daceton_s0	Groupe_4
zalla_Discothyrea_s0	Groupe_32
zalla_Dolopomyrmex_s0	Groupe_174
zalla_Dorylus_s1	Groupe_52
zalla_Dorylus_s2	Groupe_52
zalla_Dorymyrmex_s1	Groupe_142
zalla_Eciton_s1	Groupe_140
zalla_Ectatomma_s1	Groupe_162
zalla_Formica_s2	Groupe_155
zalla_Formica_s3	Groupe_156
zalla_Formica_s4	Groupe_156
zalla_Formica_s5	Groupe_155
zalla_Formica_s6	Groupe_157
zalla_Formicoxenus_s0	Groupe_20
zalla_Froggattella_s1	Groupe_143
zalla_Harpagoxenus_s0	Groupe_20
zalla_Harpegnathos_s0	Groupe_126
zalla_Hylomyrma_s0	Groupe_164
zalla_Iberoformica_s0	Groupe_56
zalla_Lasius_s2	Groupe_149
zalla_Lasius_s3	Groupe_149
zalla_Lepisiota_s0	Groupe_58
zalla_Leptanilloides_s2	Groupe_29
zalla_Leptanilloides_s3	Groupe_29
zalla_Leptogenys_s2	Groupe_128
zalla_Leptogenys_s3	Groupe_129
zalla_Leptogenys_s4	Groupe_129
zalla_Linepithema_s1	Groupe_27
zalla_Linepithema_s2	Groupe_144
zalla_Lioponera_s0	Groupe_137
zalla_Lophomyrmex_s0	Groupe_170
zalla_Lordomyrma_s0	Groupe_169
zalla_Mayaponera_s0	Groupe_30
zalla_Mayriella_s0	Groupe_19
zalla_Melissotarsus_s0	Groupe_18
zalla_Monomorium_s1	Groupe_83
zalla_Mycetomoellerius_s1	Groupe_13
zalla_Mycetomoellerius_s2	Groupe_13
zalla_Myopias_s0	Groupe_127
zalla_Myrmecia_s1	Groupe_145
zalla_Myrmecia_s10	Groupe_148
zalla_Myrmecia_s4	Groupe_146
zalla_Myrmecia_s5	Groupe_146
zalla_Myrmecia_s6	Groupe_147
zalla_Myrmecia_s7	Groupe_26
zalla_Myrmecia_s8	Groupe_26
zalla_Myrmecia_s9	Groupe_26
zalla_Myrmecocystus_s2	Groupe_150
zalla_Myrmecocystus_s3	Groupe_151
zalla_Myrmecocystus_s4	Groupe_152
zalla_Myrmica_s1	Groupe_88
zalla_Myrmica_s3	Groupe_88
zalla_Myrmica_s5	Groupe_88
zalla_Myrmica_s7	Groupe_88
zalla_Myrmica_s8	Groupe_88
zalla_Myrmica_s9	Groupe_88
zalla_Myrmicocrypta_s1	Groupe_7
zalla_Mystrium_s1	Groupe_68
zalla_Neivamyrmex_s0	Groupe_141
zalla_Nylanderia_s1	Groupe_67
zalla_Nylanderia_s3	Groupe_67
zalla_Nylanderia_s4	Groupe_67
zalla_Nylanderia_s5	Groupe_67
zalla_Nylanderia_s6	Groupe_67
zalla_Odontomachus_s1	Groupe_133
zalla_Odontomachus_s2	Groupe_134
zalla_Odontomachus_s3	Groupe_135
zalla_Opisthopsis_s1	Groupe_35
zalla_Oxyopomyrmex_s0	Groupe_22
zalla_Pachycondyla_s1	Groupe_125
zalla_Paraparatrechina_s1	Groupe_154
zalla_Parasyscia_s0	Groupe_54
zalla_Paratrachymyrmex_s1	Groupe_181
zalla_Patagonomyrmex_s0	Groupe_163
zalla_Pheidole_s1	Groupe_188
zalla_Pheidole_s13	Groupe_11
zalla_Pheidole_s14	Groupe_11
zalla_Pheidole_s15	Groupe_11
zalla_Pheidole_s16	Groupe_11
zalla_Pheidole_s18	Groupe_11
zalla_Pheidole_s19	Groupe_11
zalla_Pheidole_s2	Groupe_189
zalla_Pheidole_s20	Groupe_11
zalla_Pheidole_s22	Groupe_11
zalla_Pheidole_s23	Groupe_11
zalla_Pheidole_s24	Groupe_11
zalla_Pheidole_s25	Groupe_11
zalla_Pheidole_s27	Groupe_191
zalla_Pheidole_s28	Groupe_191
zalla_Pheidole_s6	Groupe_11
zalla_Pheidole_s8	Groupe_190
zalla_Pheidole_s9	Groupe_11
zalla_Philidris_s0	Groupe_49
zalla_Pilotrochus_s0	Groupe_10
zalla_Platythyrea_s1	Groupe_124
zalla_Pogonomyrmex_s2	Groupe_100
zalla_Pogonomyrmex_s3	Groupe_165
zalla_Pogonomyrmex_s5	Groupe_92
zalla_Pogonomyrmex_s6	Groupe_165
zalla_Pogonomyrmex_s8	Groupe_92
zalla_Pogonomyrmex_s9	Groupe_92
zalla_Polyrhachis_s1	Groupe_35
zalla_Polyrhachis_s10	Groupe_35
zalla_Polyrhachis_s11	Groupe_105
zalla_Polyrhachis_s2	Groupe_103
zalla_Polyrhachis_s3	Groupe_35
zalla_Polyrhachis_s4	Groupe_35
zalla_Polyrhachis_s5	Groupe_35
zalla_Polyrhachis_s6	Groupe_158
zalla_Polyrhachis_s8	Groupe_35
zalla_Polyrhachis_s9	Groupe_159
zalla_Proformica_s0	Groupe_25
zalla_Protanilla_s0	Groupe_122
zalla_Pseudonotoncus_s0	Groupe_64
zalla_Rhopalomastix_s0	Groupe_18
zalla_Rhopalothrix_s0	Groupe_182
zalla_Rhytidoponera_s0	Groupe_161
zalla_Simopone_s1	Groupe_69
zalla_Simopone_s2	Groupe_69
zalla_Solenopsis_s2	Groupe_177
zalla_Solenopsis_s3	Groupe_178
zalla_Stegomyrmex_s0	Groupe_173
zalla_Stenamma_s2	Groupe_166
zalla_Stenamma_s3	Groupe_166
zalla_Stenamma_s5	Groupe_166
zalla_Stenamma_s6	Groupe_167
zalla_Stigmatomma_s2	Groupe_1
zalla_Stigmatomma_s3	Groupe_2
zalla_Streblognathus_s0	Groupe_131
zalla_Strumigenys_s1	Groupe_183
zalla_Strumigenys_s2	Groupe_184
zalla_Strumigenys_s4	Groupe_77
zalla_Strumigenys_s5	Groupe_80
zalla_Strumigenys_s6	Groupe_80
zalla_Strumigenys_s8	Groupe_80
zalla_Strumigenys_s9	Groupe_73
zalla_Syllophopsis_s1	Groupe_82
zalla_Tatuidris_s0	Groupe_123
zalla_Technomyrmex_s1	Groupe_47
zalla_Temnothorax_s2	Groupe_118
zalla_Temnothorax_s3	Groupe_118
zalla_Terataner_s0	Groupe_85
zalla_Teratomyrmex_s0	Groupe_63
zalla_Tetramorium_s1	Groupe_18
zalla_Tetramorium_s3	Groupe_18
zalla_Tetramorium_s5	Groupe_18
zalla_Tetramorium_s6	Groupe_18
zalla_Tetraponera_s1	Groupe_110
zalla_Tranopelta_s0	Groupe_8
zalla_Trichomyrmex_s1	Groupe_171
zalla_Xiphopelta_s0	Groupe_132
zalla_Yunodorylus_s0	Groupe_138
zalla_Zatania_s1	Groupe_153
